Artwork Title,Year Created,Year listed,Medium,Size,Color Theme,Dom Color,is part collection,Year sold,sold at,price listed,price sold,orientation,style,Editions created,Editions Sold,collection
The Whistleblower 1,2021,2022,Print,36 x 48,cool,pink,yes,2022,art fair,800,800,portrait,figurative,5,6,Whistleblower
Omuma,2021,2022,Print,36 x 48,cool,blue,no,2022,art fair,800,800,portrait,figurative,5,5,
The Whistleblower 2,2023,2023,Mixed,36 x 48,warm,yellow,yes,2023,art fair,4200,3780,portrait,figurative,,,whistleblower
The whistleblower 3,2024,2024,Mixed,36 x 48,warm,yellow,yes,2024,group show,4200,4200,portrait,figurative,,,whistleblower
Totu neck,2022,2022,Mixed,36 x 48,warm,green,yes,,,2000,,portrait,figurative,,,harmattan
A space for me,2021,2022,Print,36 x 48,cool,blue,no,2023,group show,1000,1000,portrait,figurative,5,2,
Bigi man,2020,2022,Print,36 x 48,cool,green,no,,,800,,portrait,figurative,5,0,
Temi's song,2022,2022,Print,36 x 48,cool,blue,no,,,800,,portrait,figurative,5,0,
In the name of the father,2024,2024,Mixed,48 x 48,warm,pink,no,,,7500,,portrait,figurative,,,
my christmas suit,2022,2022,Mixed,36 x 48,warm,yellow,yes,2022,solo show,4200,4200,portrait,figurative,,,harmattan
harmattan has come,2022,2022,Mixed,36 x 48,warm,yellow,yes,2023,solo show,4200,3780,portrait,figurative,,,harmattan
lee my suweta,2022,2022,Mixed,36 x 48,warm,green,yes,2022,solo show,4200,3780,portrait,figurative,,,harmattan
ashima,2022,2022,Mixed,36 x 48,warm,red,yes,,,4200,,portrait,figurative,,,harmattan
store in a cool dry place,2023,2023,Mixed,,muted,green,yes,,,7500,,landscape,spatial,,,SCDP
"dry hands, dry feet",2022,2022,Mixed,48 x 36,warm,yellow,yes,,,4200,,landscape,figurative,,,harmattan
share with your brother,2023,2023,Mixed,36 x 48,muted,green,yes,2024,art fair,4800,4200,portrait,spatial,,,SCDP
machine,2022,2022,Mixed,36 x 48,warm,green,yes,2023,solo show,4200,3780,portrait,figurative,,,harmattan
ndi bi na yard,2022,2022,Mixed,48 x 36,warm,yellow,yes,2022,solo show,4200,4200,landscape,figurative,,,harmattan
efe church mu,2022,2022,Mixed,36 x 48,warm,red,yes,,,4200,,portrait,figurative,,,harmattan
oso ahia,2023,2023,Mixed,48 x 36,warm,yellow,yes,2023,solo show,4800,4320,landscape,figurative,,,SCDP
eke ututu,2023,2023,Mixed,36 x 48,muted,blue,yes,,,4800,,portrait,figurative,,,SCDP
diocese of orlu I,2023,2023,Mixed,36 x 48,muted,blue,yes,,,4800,,portrait,spatial,,,SCDP
diocese of orlu II,2023,2023,Mixed,36 x 48,muted,blue,yes,,,4800,,portrait,spatial,,,SCDP
there is rice at home,2023,2023,Mixed,48 x 36,muted,blue,yes,,,4800,,landscape,spatial,,,SCDP
super yogo,2023,2023,Mixed,48 x 36,muted,yellow,yes,2023,solo show,4800,4320,landscape,figurative,,,SCDP
Broda james,2023,2023,Mixed,48 x 36,muted,green,yes,,,4800,,landscape,spatial,,,SCDP
The bad men are coming,2021,2021,Print,36 x 48,cool,blue,no,,,1000,,portrait,figurative,5,0,
Igbata Fuel,2022,2023,Mixed,36 x 48,warm,red,yes,2023,solo show,4200,3780,portrait,figurative,,,harmattan
